method,path,domain,action,summary,func,file,auth_status,enforcement,current_perms,ui_exposed,recommended_perm,recommended_scope,severity,is_mutation,sensitive_kw,roles_with_current_perm
POST,/api/v1/auth/register,auth,create,יצירת משתמש חדש — דורש הרשאת Admin בלבד,register,auth.py,permission,require_permission(users.create);inline_role_check,users.create,no,auth.create,global,🟢,yes,permission;role,ADMIN
POST,/api/v1/auth/request-otp,auth,create,Step 1 — request a 6-digit OTP via phone or email.,request_otp,auth.py,anonymous,NONE,,no,auth.create,global,🟢,yes,,
POST,/api/v1/auth/resend-otp,auth,create,Resend OTP code - always generates a new one.,resend_otp,auth.py,anonymous,NONE,,yes,auth.create,global,🟢,yes,,
POST,/api/v1/auth/reset-password,auth,create,Request password reset.,request_password_reset,auth.py,anonymous,NONE,,yes,auth.create,global,🟢,yes,,
POST,/api/v1/auth/reset-password/confirm,auth,create,Confirm password reset.,confirm_password_reset,auth.py,anonymous,NONE,,yes,auth.create,global,🟢,yes,,
POST,/api/v1/auth/send-otp,auth,create,Send OTP to user email (lookup is case-insensitive).,send_otp,auth.py,anonymous,NONE,,yes,auth.create,global,🟢,yes,lock,
POST,/api/v1/auth/verify-otp,auth,create,Verify OTP code.,verify_otp,auth.py,anonymous,NONE,,yes,auth.create,global,🟢,yes,permission;role,
POST,/api/v1/auth/verify-otp-v2,auth,create,Step 2 — verify OTP + register device.,verify_otp_v2,auth.py,anonymous,NONE,,no,auth.create,global,🟢,yes,permission;role,
POST,/api/v1/auth/webauthn/login/begin,auth,create,Step 1 of login: generate PublicKeyCredentialRequestOptions for a username.,webauthn_login_begin,auth.py,anonymous,NONE,,no,auth.create,global,🟢,yes,,
POST,/api/v1/auth/webauthn/login/complete,auth,complete,Step 2 of login: verify assertion and return access token.,webauthn_login_complete,auth.py,anonymous,NONE,,no,auth.complete,global,🟢,yes,pay;permission;role,
GET,/api/v1/budget-items,budget_items,list,List budget items,list_budget_items,budget_items.py,permission,require_permission(budget_items.read),budget_items.read,no,budget_items.list,scoped (region/area/project per role),🟢,no,permission,ADMIN;AREA_MANAGER;REGION_MANAGER;WORK_MANAGER
POST,/api/v1/budget-items,budget_items,create,Create budget item,create_budget_item,budget_items.py,permission,require_permission(budget_items.create),budget_items.create,no,budget_items.create,scoped (region/area/project per role),🟢,yes,permission,ADMIN
GET,/api/v1/budget-items/statistics,budget_items,list,Get statistics,get_statistics,budget_items.py,permission,require_permission(budget_items.read),budget_items.read,no,budget_items.list,scoped (region/area/project per role),🟢,no,permission,ADMIN;AREA_MANAGER;REGION_MANAGER;WORK_MANAGER
DELETE,/api/v1/budget-items/{item_id},budget_items,delete,Delete budget item,delete_budget_item,budget_items.py,permission,require_permission(budget_items.delete),budget_items.delete=MISSING_IN_DB,no,budget_items.delete,scoped (region/area/project per role),🟢,yes,delete;permission,
GET,/api/v1/budget-items/{item_id},budget_items,read,Get budget item,get_budget_item,budget_items.py,permission,require_permission(budget_items.read),budget_items.read,no,budget_items.read,scoped (region/area/project per role),🟢,no,permission,ADMIN;AREA_MANAGER;REGION_MANAGER;WORK_MANAGER
PUT,/api/v1/budget-items/{item_id},budget_items,update,Update budget item,update_budget_item,budget_items.py,permission,require_permission(budget_items.update),budget_items.update,no,budget_items.update,scoped (region/area/project per role),🟢,yes,permission,ADMIN
POST,/api/v1/budget-items/{item_id}/restore,budget_items,restore,Restore budget item,restore_budget_item,budget_items.py,permission,require_permission(budget_items.restore),budget_items.restore=MISSING_IN_DB,no,budget_items.restore,scoped (region/area/project per role),🟢,yes,permission,
GET,/api/v1/budget-transfers,budget_transfers,list,רשימת בקשות העברה — סינון לפי מרחב / אזור / תקציב / סטטוס,list_transfers,budget_transfers.py,permission,require_permission(budgets.view),budgets.view=MISSING_IN_DB,yes,budget_transfers.list,?,🟢,no,transfer;permission,
POST,/api/v1/budget-transfers/request,budget_transfers,create,מנהל אזור / מרחב מבקש העברת תקציב,create_transfer_request,budget_transfers.py,permission,require_permission(budgets.view),budgets.view=MISSING_IN_DB,yes,budget_transfers.create,?,🟢,yes,amount;transfer;permission,
POST,/api/v1/budget-transfers/{transfer_id}/approve,budget_transfers,approve,מנהל מרחב מאשר (מלא / חלקי),approve_transfer,budget_transfers.py,permission,require_permission(budgets.edit),budgets.edit=MISSING_IN_DB,yes,budget_transfers.approve,?,🟢,yes,amount;approve;transfer;permission,
POST,/api/v1/budget-transfers/{transfer_id}/reject,budget_transfers,reject,מנהל מרחב דוחה בקשה,reject_transfer,budget_transfers.py,permission,require_permission(budgets.edit),budgets.edit=MISSING_IN_DB,yes,budget_transfers.reject,?,🟢,yes,reject;transfer;permission,
GET,/api/v1/budgets,budgets,list,List budgets,list_budgets,budgets.py,permission,require_permission(budgets.read),budgets.read,yes,budgets.list,scoped (region/area/project per role),🟢,no,permission,ADMIN;AREA_MANAGER;REGION_MANAGER;WORK_MANAGER
POST,/api/v1/budgets,budgets,create,Create budget,create_budget,budgets.py,permission,require_permission(budgets.create),budgets.create,yes,budgets.create,scoped (region/area/project per role),🟢,yes,permission,ADMIN
GET,/api/v1/budgets/by-code/{code},budgets,read,Get by code,get_by_code,budgets.py,permission,require_permission(budgets.read),budgets.read,no,budgets.read,scoped (region/area/project per role),🟢,no,permission,ADMIN;AREA_MANAGER;REGION_MANAGER;WORK_MANAGER
GET,/api/v1/budgets/statistics,budgets,list,Get statistics,get_statistics,budgets.py,permission,require_permission(budgets.read),budgets.read,no,budgets.list,scoped (region/area/project per role),🟢,no,permission,ADMIN;AREA_MANAGER;REGION_MANAGER;WORK_MANAGER
GET,/api/v1/budgets/summary,budgets,list,Hierarchical budget summary: regions  areas  projects,get_budget_summary,budgets.py,permission,require_permission(budgets.read),budgets.read,yes,budgets.list,scoped (region/area/project per role),🟢,no,amount;spent;permission;role,ADMIN;AREA_MANAGER;REGION_MANAGER;WORK_MANAGER
DELETE,/api/v1/budgets/{budget_id},budgets,delete,Delete budget,delete_budget,budgets.py,permission,require_permission(budgets.delete),budgets.delete,no,budgets.delete,scoped (region/area/project per role),🟢,yes,delete;permission,ADMIN
GET,/api/v1/budgets/{budget_id},budgets,read,Get budget,get_budget,budgets.py,permission,require_permission(budgets.read),budgets.read,no,budgets.read,scoped (region/area/project per role),🟢,no,permission,ADMIN;AREA_MANAGER;REGION_MANAGER;WORK_MANAGER
PUT,/api/v1/budgets/{budget_id},budgets,update,Update budget,update_budget,budgets.py,permission,require_permission(budgets.update),budgets.update,yes,budgets.update,scoped (region/area/project per role),🟢,yes,permission,ADMIN;AREA_MANAGER
GET,/api/v1/budgets/{budget_id}/committed,budgets,read,Work Orders holding budget (committed amounts).,get_budget_committed,budgets.py,permission,require_permission(budgets.read),budgets.read,yes,budgets.read,scoped (region/area/project per role),🟢,no,amount;permission,ADMIN;AREA_MANAGER;REGION_MANAGER;WORK_MANAGER
GET,/api/v1/budgets/{budget_id}/detail,budgets,read,Budget detail with project/region/area info + KPIs.,get_budget_detail,budgets.py,permission,require_permission(budgets.read),budgets.read,yes,budgets.read,scoped (region/area/project per role),🟢,no,amount;spent;lock;permission,ADMIN;AREA_MANAGER;REGION_MANAGER;WORK_MANAGER
POST,/api/v1/budgets/{budget_id}/restore,budgets,restore,Restore budget,restore_budget,budgets.py,permission,require_permission(budgets.restore),budgets.restore=MISSING_IN_DB,no,budgets.restore,scoped (region/area/project per role),🟢,yes,permission,
GET,/api/v1/budgets/{budget_id}/spent,budgets,read,Worklogs that consumed budget (spent amounts).,get_budget_spent,budgets.py,permission,require_permission(budgets.read),budgets.read,yes,budgets.read,scoped (region/area/project per role),🟢,no,amount;spent;permission,ADMIN;AREA_MANAGER;REGION_MANAGER;WORK_MANAGER
GET,/api/v1/dashboard/admin-overview,dashboard,list,"Admin dashboard overview — aggregates KPIs, financial, alerts, charts, events.",get_admin_overview,dashboard.py,authenticated,inline_role_check,,yes,dashboard.list,?,🟢,no,amount;spent;approve;delete;role,
GET,/api/v1/departments,departments,list,List departments,list_departments,departments.py,permission,require_permission(departments.read),departments.read,yes,departments.list,all,🟢,no,permission,ADMIN;AREA_MANAGER;REGION_MANAGER
POST,/api/v1/departments,departments,create,Create department,create_department,departments.py,permission,require_permission(departments.create),departments.create,no,departments.create,global,🟢,yes,permission,ADMIN
GET,/api/v1/departments/by-code/{code},departments,read,Get by code,get_by_code,departments.py,permission,require_permission(departments.read),departments.read,no,departments.read,all,🟢,no,permission,ADMIN;AREA_MANAGER;REGION_MANAGER
GET,/api/v1/departments/statistics,departments,list,Get statistics,get_statistics,departments.py,permission,require_permission(departments.read),departments.read,no,departments.list,all,🟢,no,permission,ADMIN;AREA_MANAGER;REGION_MANAGER
DELETE,/api/v1/departments/{dept_id},departments,delete,Delete department,delete_department,departments.py,permission,require_permission(departments.delete),departments.delete,no,departments.delete,global,🟢,yes,delete;permission,ADMIN
GET,/api/v1/departments/{dept_id},departments,read,Get department,get_department,departments.py,permission,require_permission(departments.read),departments.read,no,departments.read,all,🟢,no,permission,ADMIN;AREA_MANAGER;REGION_MANAGER
PUT,/api/v1/departments/{dept_id},departments,update,Update department,update_department,departments.py,permission,require_permission(departments.update),departments.update,no,departments.update,global,🟢,yes,permission,ADMIN
GET,/api/v1/departments/{dept_id}/children,departments,read,Get child departments,get_children,departments.py,permission,require_permission(departments.read),departments.read,no,departments.read,all,🟢,no,permission,ADMIN;AREA_MANAGER;REGION_MANAGER
POST,/api/v1/departments/{dept_id}/restore,departments,restore,Restore department,restore_department,departments.py,permission,require_permission(departments.restore),departments.restore,no,departments.restore,global,🟢,yes,permission,ADMIN
GET,/api/v1/equipment,equipment,list,List equipment with filters and pagination,list_equipment,equipment.py,permission,require_permission(equipment.read),equipment.read,yes,equipment.list,scoped (project/area),🟢,no,permission,ADMIN;AREA_MANAGER;ORDER_COORDINATOR;REGION_MANAGER;SUPPLIER;WORK_MANAGER
POST,/api/v1/equipment,equipment,create,Create new equipment,create_equipment,equipment.py,permission,require_permission(equipment.create),equipment.create=MISSING_IN_DB,yes,equipment.create,scoped (project/area),🟢,yes,permission,
GET,/api/v1/equipment-categories,equipment_categories,list,List equipment categories,list_categories,equipment_categories.py,permission,require_permission(equipment_categories.read),equipment_categories.read,yes,equipment_categories.list,all,🟢,no,permission,ADMIN;AREA_MANAGER;ORDER_COORDINATOR;REGION_MANAGER;WORK_MANAGER
POST,/api/v1/equipment-categories,equipment_categories,create,Create equipment category,create_category,equipment_categories.py,permission,require_permission(equipment_categories.create),equipment_categories.create=MISSING_IN_DB,yes,equipment_categories.create,global,🟢,yes,permission,
GET,/api/v1/equipment-categories/by-code/{code},equipment_categories,read,Get by code,get_by_code,equipment_categories.py,permission,require_permission(equipment_categories.read),equipment_categories.read,no,equipment_categories.read,all,🟢,no,permission,ADMIN;AREA_MANAGER;ORDER_COORDINATOR;REGION_MANAGER;WORK_MANAGER
GET,/api/v1/equipment-categories/statistics,equipment_categories,list,Get statistics,get_statistics,equipment_categories.py,permission,require_permission(equipment_categories.read),equipment_categories.read,no,equipment_categories.list,all,🟢,no,permission,ADMIN;AREA_MANAGER;ORDER_COORDINATOR;REGION_MANAGER;WORK_MANAGER
DELETE,/api/v1/equipment-categories/{item_id},equipment_categories,delete,Soft delete equipment category,delete_category,equipment_categories.py,permission,require_permission(equipment_categories.delete),equipment_categories.delete=MISSING_IN_DB,no,equipment_categories.delete,global,🟢,yes,delete;permission,
GET,/api/v1/equipment-categories/{item_id},equipment_categories,read,Get equipment category,get_category,equipment_categories.py,permission,require_permission(equipment_categories.read),equipment_categories.read,no,equipment_categories.read,all,🟢,no,permission,ADMIN;AREA_MANAGER;ORDER_COORDINATOR;REGION_MANAGER;WORK_MANAGER
PUT,/api/v1/equipment-categories/{item_id},equipment_categories,update,Update equipment category,update_category,equipment_categories.py,permission,require_permission(equipment_categories.update),equipment_categories.update=MISSING_IN_DB,no,equipment_categories.update,global,🟢,yes,permission,
GET,/api/v1/equipment-categories/{item_id}/children,equipment_categories,read,Get child categories,get_children,equipment_categories.py,permission,require_permission(equipment_categories.read),equipment_categories.read,no,equipment_categories.read,all,🟢,no,permission,ADMIN;AREA_MANAGER;ORDER_COORDINATOR;REGION_MANAGER;WORK_MANAGER
POST,/api/v1/equipment-categories/{item_id}/restore,equipment_categories,restore,Restore equipment category,restore_category,equipment_categories.py,permission,require_permission(equipment_categories.restore),equipment_categories.restore=MISSING_IN_DB,no,equipment_categories.restore,global,🟢,yes,permission,
GET,/api/v1/equipment-types,equipment_types,list,List equipment types,list_equipment_types,equipment_types.py,permission,require_permission(equipment_types.read),equipment_types.read,yes,equipment_types.list,all,🟢,no,permission,ADMIN;AREA_MANAGER;ORDER_COORDINATOR;REGION_MANAGER;WORK_MANAGER
POST,/api/v1/equipment-types,equipment_types,create,Create equipment type,create_equipment_type,equipment_types.py,permission,require_permission(equipment_types.create),equipment_types.create=MISSING_IN_DB,yes,equipment_types.create,global,🟢,yes,permission,
GET,/api/v1/equipment-types/by-code/{code},equipment_types,read,Get by code,get_by_code,equipment_types.py,permission,require_permission(equipment_types.read),equipment_types.read,no,equipment_types.read,all,🟢,no,permission,ADMIN;AREA_MANAGER;ORDER_COORDINATOR;REGION_MANAGER;WORK_MANAGER
GET,/api/v1/equipment-types/statistics,equipment_types,list,Get statistics,get_statistics,equipment_types.py,permission,require_permission(equipment_types.read),equipment_types.read,no,equipment_types.list,all,🟢,no,permission,ADMIN;AREA_MANAGER;ORDER_COORDINATOR;REGION_MANAGER;WORK_MANAGER
DELETE,/api/v1/equipment-types/{item_id},equipment_types,delete,Deactivate equipment type,deactivate_equipment_type,equipment_types.py,permission,require_permission(equipment_types.delete),equipment_types.delete=MISSING_IN_DB,no,equipment_types.delete,global,🟢,yes,delete;permission,
GET,/api/v1/equipment-types/{item_id},equipment_types,read,Get equipment type,get_equipment_type,equipment_types.py,permission,require_permission(equipment_types.read),equipment_types.read,no,equipment_types.read,all,🟢,no,permission,ADMIN;AREA_MANAGER;ORDER_COORDINATOR;REGION_MANAGER;WORK_MANAGER
PUT,/api/v1/equipment-types/{item_id},equipment_types,update,Update equipment type,update_equipment_type,equipment_types.py,permission,require_permission(equipment_types.update),equipment_types.update=MISSING_IN_DB,yes,equipment_types.update,global,🟢,yes,permission,
POST,/api/v1/equipment-types/{item_id}/activate,equipment_types,activate,Activate equipment type,activate_equipment_type,equipment_types.py,permission,require_permission(equipment_types.restore),equipment_types.restore=MISSING_IN_DB,no,equipment_types.activate,all,🟢,yes,permission,
POST,/api/v1/equipment-types/{item_id}/apply-rate-to-all,equipment_types,create,Apply the equipment type's hourly_rate to ALL equipment of this type.,apply_rate_to_all_equipment,equipment_types.py,permission,require_permission(equipment_types.manage),equipment_types.manage,no,equipment_types.create,global,🟢,yes,permission,ADMIN
GET,/api/v1/equipment/active,equipment,list,Get all active equipment,get_active_equipment,equipment.py,permission,require_permission(equipment.read),equipment.read,yes,equipment.list,scoped (project/area),🟢,no,permission,ADMIN;AREA_MANAGER;ORDER_COORDINATOR;REGION_MANAGER;SUPPLIER;WORK_MANAGER
GET,/api/v1/equipment/by-code/{code},equipment,read,Get equipment by code (for QR scanning),get_equipment_by_code,equipment.py,permission,require_permission(equipment.read),equipment.read,yes,equipment.read,scoped (project/area),🟢,no,permission,ADMIN;AREA_MANAGER;ORDER_COORDINATOR;REGION_MANAGER;SUPPLIER;WORK_MANAGER
GET,/api/v1/equipment/maintenance-needed,equipment,list,Get equipment that needs maintenance,get_equipment_needing_maintenance,equipment.py,permission,require_permission(equipment.read),equipment.read,yes,equipment.list,scoped (project/area),🟢,no,permission,ADMIN;AREA_MANAGER;ORDER_COORDINATOR;REGION_MANAGER;SUPPLIER;WORK_MANAGER
GET,/api/v1/equipment/statistics,equipment,list,Get equipment statistics,get_equipment_statistics,equipment.py,permission,require_permission(equipment.read),equipment.read,no,equipment.list,scoped (project/area),🟢,no,permission,ADMIN;AREA_MANAGER;ORDER_COORDINATOR;REGION_MANAGER;SUPPLIER;WORK_MANAGER
GET,/api/v1/equipment/types/list,equipment,list,Get equipment types for dropdown lists,get_equipment_types_list,equipment.py,permission,require_permission(equipment.read),equipment.read,yes,equipment.list,scoped (project/area),🟢,no,permission,ADMIN;AREA_MANAGER;ORDER_COORDINATOR;REGION_MANAGER;SUPPLIER;WORK_MANAGER
POST,/api/v1/equipment/validate-plate,equipment,create,Validate equipment by license plate against an approved work order.,validate_license_plate,equipment.py,permission,require_permission(equipment.read),equipment.read,yes,equipment.create,scoped (project/area),🟢,yes,approve;delete;permission,ADMIN;AREA_MANAGER;ORDER_COORDINATOR;REGION_MANAGER;SUPPLIER;WORK_MANAGER
DELETE,/api/v1/equipment/{equipment_id},equipment,delete,Delete equipment (soft delete),delete_equipment,equipment.py,permission,require_permission(equipment.delete),equipment.delete,yes,equipment.delete,scoped (project/area),🟢,yes,delete;permission,ADMIN
GET,/api/v1/equipment/{equipment_id},equipment,read,Get equipment by ID,get_equipment,equipment.py,permission,require_permission(equipment.read),equipment.read,yes,equipment.read,scoped (project/area),🟢,no,delete;permission,ADMIN;AREA_MANAGER;ORDER_COORDINATOR;REGION_MANAGER;SUPPLIER;WORK_MANAGER
PATCH,/api/v1/equipment/{equipment_id},equipment,update,Partial update equipment (PATCH alias),patch_equipment,equipment.py,permission,require_permission(equipment.update),equipment.update=MISSING_IN_DB,yes,equipment.update,scoped (project/area),🟢,yes,permission,
PUT,/api/v1/equipment/{equipment_id},equipment,update,Update equipment,update_equipment,equipment.py,permission,require_permission(equipment.update),equipment.update=MISSING_IN_DB,yes,equipment.update,scoped (project/area),🟢,yes,permission,
POST,/api/v1/equipment/{equipment_id}/assign,equipment,assign,Assign equipment to project,assign_equipment,equipment.py,permission,require_permission(equipment.assign),equipment.assign=MISSING_IN_DB,no,equipment.assign,scoped (project/area),🟢,yes,permission,
PUT,/api/v1/equipment/{equipment_id}/maintenance,equipment,update,Update equipment maintenance info,update_equipment_maintenance,equipment.py,permission,require_permission(equipment.update),equipment.update=MISSING_IN_DB,yes,equipment.update,scoped (project/area),🟢,yes,permission,
POST,/api/v1/equipment/{equipment_id}/release,equipment,release,Release/Return equipment from work order.,release_equipment,equipment.py,permission,require_permission(work_orders.update),work_orders.update=MISSING_IN_DB,no,equipment.release,scoped (project/area),🟢,yes,delete;permission;role,
POST,/api/v1/equipment/{equipment_id}/restore,equipment,restore,Restore soft-deleted equipment,restore_equipment,equipment.py,permission,require_permission(equipment.restore),equipment.restore,no,equipment.restore,scoped (project/area),🟢,yes,delete;permission,ADMIN
POST,/api/v1/equipment/{equipment_id}/scan,equipment,create,Record an equipment scan.,scan_equipment,equipment.py,permission,require_permission(equipment.read),equipment.read,yes,equipment.create,scoped (project/area),🟢,yes,permission;role,ADMIN;AREA_MANAGER;ORDER_COORDINATOR;REGION_MANAGER;SUPPLIER;WORK_MANAGER
PATCH,/api/v1/equipment/{equipment_id}/toggle-active,equipment,update,הפעל / השבת כלי ציוד,toggle_equipment_active,equipment.py,permission,require_permission(equipment.update),equipment.update=MISSING_IN_DB,yes,equipment.update,scoped (project/area),🟢,yes,permission,
GET,/api/v1/geo/forest-polygons,geo,list,List all forest polygons,list_forest_polygons,geo.py,permission,require_permission(projects.read),projects.read,no,geo.list,?,🟢,no,permission,ADMIN;AREA_MANAGER;ORDER_COORDINATOR;REGION_MANAGER;WORK_MANAGER
POST,/api/v1/geo/forest-polygons,geo,create,Create a single forest polygon from drawn geometry.,create_forest_polygon,geo.py,permission,require_permission(projects.update),projects.update,yes,geo.create,?,🟢,yes,permission,ADMIN
GET,/api/v1/geo/forest-polygons/bbox,geo,list,Get forest polygons within a bounding box (for map viewport),get_forest_polygons_by_bbox,geo.py,permission,require_permission(projects.read),projects.read,no,geo.list,?,🟢,no,permission,ADMIN;AREA_MANAGER;ORDER_COORDINATOR;REGION_MANAGER;WORK_MANAGER
POST,/api/v1/geo/forest-polygons/import,geo,create,Import forest polygons from GeoJSON (JSON body),import_forest_polygons_json,geo.py,permission,require_permission(settings.manage),settings.manage=MISSING_IN_DB,no,geo.create,?,🟢,yes,permission,
POST,/api/v1/geo/forest-polygons/import-file,geo,create,Import forest polygons from GeoJSON file upload,import_forest_polygons_file,geo.py,permission,require_permission(settings.manage),settings.manage=MISSING_IN_DB,no,geo.create,?,🟢,yes,permission,
GET,/api/v1/geo/forest-polygons/{polygon_id},geo,read,Get a single forest polygon by ID,get_forest_polygon,geo.py,permission,require_permission(projects.read),projects.read,no,geo.read,?,🟢,no,permission,ADMIN;AREA_MANAGER;ORDER_COORDINATOR;REGION_MANAGER;WORK_MANAGER
POST,/api/v1/geo/projects/{project_id}/find-polygon,geo,create,Find forest polygon that contains the project's location and link it,find_and_link_polygon_for_project,geo.py,permission,require_permission(projects.update),projects.update,no,geo.create,?,🟢,yes,permission,ADMIN
GET,/api/v1/geo/projects/{project_id}/forest-polygon,geo,read,Get forest polygon linked to a project,get_project_forest_polygon,geo.py,permission,require_permission(projects.read),projects.read,no,geo.read,?,🟢,no,permission,ADMIN;AREA_MANAGER;ORDER_COORDINATOR;REGION_MANAGER;WORK_MANAGER
POST,/api/v1/geo/projects/{project_id}/link-polygon/{polygon_id},geo,create,Link a project to a forest polygon,link_project_to_polygon,geo.py,permission,require_permission(projects.update),projects.update,no,geo.create,?,🟢,yes,permission,ADMIN
GET,/api/v1/invoice-payments,invoice_payments,list,List payments,list_invoice_payments,invoice_payments.py,permission,require_permission(invoice_payments.read),invoice_payments.read,no,invoice_payments.list,scoped (region/area/project per role),🟢,no,pay;permission,ADMIN
POST,/api/v1/invoice-payments,invoice_payments,create,Create payment,create_invoice_payment,invoice_payments.py,permission,require_permission(invoice_payments.create),invoice_payments.create,no,invoice_payments.create,scoped (region/area/project per role),🟢,yes,pay;permission,ADMIN
GET,/api/v1/invoice-payments/{payment_id},invoice_payments,read,Get payment,get_invoice_payment,invoice_payments.py,permission,require_permission(invoice_payments.read),invoice_payments.read,no,invoice_payments.read,scoped (region/area/project per role),🟢,no,pay;permission,ADMIN
PUT,/api/v1/invoice-payments/{payment_id},invoice_payments,update,Update payment,update_invoice_payment,invoice_payments.py,permission,require_permission(invoice_payments.update),invoice_payments.update=MISSING_IN_DB,no,invoice_payments.update,scoped (region/area/project per role),🟢,yes,pay;permission,
POST,/api/v1/invoice-payments/{payment_id}/activate,invoice_payments,activate,Activate payment,activate_payment,invoice_payments.py,permission,require_permission(invoice_payments.restore),invoice_payments.restore=MISSING_IN_DB,no,invoice_payments.activate,scoped (region/area/project per role),🟢,yes,pay;permission,
POST,/api/v1/invoice-payments/{payment_id}/deactivate,invoice_payments,create,Deactivate payment,deactivate_payment,invoice_payments.py,permission,require_permission(invoice_payments.delete),invoice_payments.delete=MISSING_IN_DB,no,invoice_payments.create,scoped (region/area/project per role),🟢,yes,pay;delete;permission,
GET,/api/v1/invoices,invoices,list,List invoices,list_invoices,invoices.py,permission,require_permission(invoices.read),invoices.read,yes,invoices.list,scoped (region/area/project per role),🟢,no,amount;permission;role,ACCOUNTANT;ADMIN;AREA_MANAGER;REGION_MANAGER
POST,/api/v1/invoices,invoices,create,Create invoice,create_invoice,invoices.py,permission,require_permission(invoices.create),invoices.create,no,invoices.create,scoped (region/area/project per role),🟢,yes,permission,ACCOUNTANT;ADMIN
GET,/api/v1/invoices/by-number/{invoice_number},invoices,read,Get by invoice number,get_by_number,invoices.py,permission,require_permission(invoices.read),invoices.read,no,invoices.read,scoped (region/area/project per role),🟢,no,permission,ACCOUNTANT;ADMIN;AREA_MANAGER;REGION_MANAGER
POST,/api/v1/invoices/from-work-order/{work_order_id},invoices,create,Create invoice from work order,create_invoice_from_work_order,invoices.py,permission,require_permission(invoices.create),invoices.create,yes,invoices.create,scoped (region/area/project per role),🟢,yes,amount;delete;permission,ACCOUNTANT;ADMIN
POST,/api/v1/invoices/from-worklogs,invoices,create,יצירת חשבונית מרשימת דיווחי שעות מאושרים.,create_invoice_from_worklogs,invoices.py,permission,require_permission(invoices.create),invoices.create,yes,invoices.create,scoped (region/area/project per role),🟢,yes,amount;approve;permission,ACCOUNTANT;ADMIN
POST,/api/v1/invoices/generate-monthly,invoices,create,מנהלת חשבונות מפיקה חשבונית חודשית לספק+פרויקט.,generate_monthly_invoice_endpoint,invoices.py,permission,require_permission(invoices.create),invoices.create,yes,invoices.create,scoped (region/area/project per role),🟢,yes,amount;approve;permission,ACCOUNTANT;ADMIN
GET,/api/v1/invoices/statistics,invoices,list,Get statistics,get_statistics,invoices.py,permission,require_permission(invoices.read),invoices.read,no,invoices.list,scoped (region/area/project per role),🟢,no,permission,ACCOUNTANT;ADMIN;AREA_MANAGER;REGION_MANAGER
GET,/api/v1/invoices/summary/stats,invoices,list,Get invoice summary statistics - alias for /statistics,get_summary_stats,invoices.py,permission,require_permission(invoices.read),invoices.read,yes,invoices.list,scoped (region/area/project per role),🟢,no,permission,ACCOUNTANT;ADMIN;AREA_MANAGER;REGION_MANAGER
GET,/api/v1/invoices/uninvoiced-suppliers,invoices,list,ספקים עם דיווחים מאושרים שלא שויכו לחשבונית,get_uninvoiced_suppliers_endpoint,invoices.py,permission,require_permission(invoices.read),invoices.read,no,invoices.list,scoped (region/area/project per role),🟢,no,permission,ACCOUNTANT;ADMIN;AREA_MANAGER;REGION_MANAGER
DELETE,/api/v1/invoices/{invoice_id},invoices,delete,Delete invoice,delete_invoice,invoices.py,permission,require_permission(invoices.delete),invoices.delete,yes,invoices.delete,scoped (region/area/project per role),🟢,yes,delete;permission,ADMIN
GET,/api/v1/invoices/{invoice_id},invoices,read,Get invoice,get_invoice,invoices.py,permission,require_permission(invoices.read),invoices.read,yes,invoices.read,scoped (region/area/project per role),🟢,no,permission;role,ACCOUNTANT;ADMIN;AREA_MANAGER;REGION_MANAGER
PUT,/api/v1/invoices/{invoice_id},invoices,update,Update invoice,update_invoice,invoices.py,permission,require_permission(invoices.update),invoices.update,yes,invoices.update,scoped (region/area/project per role),🟢,yes,permission,ACCOUNTANT;ADMIN
POST,/api/v1/invoices/{invoice_id}/approve,invoices,approve,Approve invoice,approve_invoice,invoices.py,permission,require_permission(invoices.approve),invoices.approve,yes,invoices.approve,scoped (region/area/project per role),🟢,yes,approve;permission,ACCOUNTANT;ADMIN
GET,/api/v1/invoices/{invoice_id}/items,invoices,read,Return invoice items enriched with supplier/project names.,get_invoice_items,invoices.py,permission,require_permission(invoices.read),invoices.read,yes,invoices.read,scoped (region/area/project per role),🟢,no,amount;delete;permission,ACCOUNTANT;ADMIN;AREA_MANAGER;REGION_MANAGER
POST,/api/v1/invoices/{invoice_id}/mark-paid,invoices,mark-paid,Mark invoice as paid.,mark_invoice_paid,invoices.py,permission,require_permission(invoices.approve),invoices.approve,yes,invoices.mark-paid,scoped (region/area/project per role),🟢,yes,amount;approve;pay;delete;permission,ACCOUNTANT;ADMIN
GET,/api/v1/invoices/{invoice_id}/pdf,invoices,read,"Generate and return Invoice PDF (A4, RTL, weasyprint).",get_invoice_pdf,invoices.py,permission,require_permission(invoices.read),invoices.read,no,invoices.read,scoped (region/area/project per role),🟢,no,pay;permission,ACCOUNTANT;ADMIN;AREA_MANAGER;REGION_MANAGER
POST,/api/v1/invoices/{invoice_id}/restore,invoices,restore,Restore invoice,restore_invoice,invoices.py,permission,require_permission(invoices.restore),invoices.restore=MISSING_IN_DB,no,invoices.restore,scoped (region/area/project per role),🟢,yes,permission,
POST,/api/v1/invoices/{invoice_id}/send,invoices,create,Mark invoice as sent to supplier,send_invoice_to_supplier,invoices.py,permission,require_permission(invoices.update),invoices.update,yes,invoices.create,scoped (region/area/project per role),🟢,yes,permission,ACCOUNTANT;ADMIN
